state,district,total,daily_mean,daily_std,active_days,pincodes,cv,cv_normalized,coverage,volume_score,risk_score,risk_category
Sikkim,South Sikkim,459,4.59,26.246344622834737,54,6,5.608267143398816,1.0,0.03571428571428571,0.010639284224189884,0.984308214732743,High Risk
Nagaland,Zunheboto,750,5.172413793103448,28.897170379445416,67,6,5.586786273359447,0.9961697848033768,0.03571428571428571,0.0173844513467155,0.9809440892771673,High Risk
Delhi,Shahdara,1697,8.570707070707071,61.49039420261464,74,5,5.608267143398816,1.0,0.02976190476190476,0.039335218580501596,0.9777827677591827,High Risk
Nagaland,Mokokchung,486,3.176470588235294,17.680318245177993,66,8,5.566026114222702,0.9924680782680202,0.047619047619047616,0.011265124472671643,0.9773176233853389,High Risk
Nagaland,Dimapur,3182,11.04861111111111,63.14656695280349,74,8,5.608267143398816,1.0,0.047619047619047616,0.07375643224699828,0.9612064036592338,High Risk
Gujarat,Surendranagar,1441,12.640350877192983,77.16069052767513,54,16,5.608267143398816,1.0,0.09523809523809523,0.03340132585415604,0.9566462689104198,High Risk
Nagaland,Mon,2201,9.326271186440678,48.664805628789296,75,4,5.218034588093718,0.9304183368361082,0.023809523809523808,0.05101756988549441,0.9520078135936562,High Risk
Assam,Chirang,3286,6.611670020120724,41.16009391726399,76,14,5.608267143398816,1.0,0.08333333333333333,0.07616707616707617,0.9479832104832104,High Risk
Manipur,Churachandpur,4594,14.267080745341614,102.45237524489397,78,10,5.608267143398816,1.0,0.05952380952380952,0.10648555931574799,0.9472209988719422,High Risk
Gujarat,Botad,2910,7.220843672456576,41.35501392093677,72,18,5.608267143398816,1.0,0.10714285714285714,0.06745167122525612,0.9422644986324231,High Risk
Assam,Majuli,511,3.548611111111111,17.399794975526728,62,6,4.903269034199313,0.8742930585913122,0.03571428571428571,0.011844606184228825,0.9399491886516906,High Risk
Madhya Pradesh,Khandwa,4461,5.639696586599242,33.238080827915034,78,16,5.608267143398816,1.0,0.09523809523809523,0.10340271661026378,0.9356458516835875,High Risk
Nagaland,Tuensang,1546,9.974193548387097,49.19216868133263,75,6,4.931944466757153,0.8794061232554291,0.03571428571428571,0.03583514904269621,0.9345415984265912,High Risk
Jharkhand,Pakur,6851,18.269333333333332,128.66421702063465,78,9,5.608267143398816,1.0,0.05357142857142857,0.1588011682351305,0.9336096495294608,High Risk
Chhattisgarh,Raigarh,4851,6.06375,39.7752092392363,77,16,5.608267143398816,1.0,0.09523809523809523,0.11244263131055583,0.9329338772734999,High Risk
Mizoram,Champhai,1139,6.7,32.55888611560225,72,6,4.8595352411346635,0.8664949648225221,0.03571428571428571,0.02640118677854527,0.9328528816543191,High Risk
Haryana,Panipat,6011,10.275213675213676,73.12426899995579,79,13,5.608267143398816,1.0,0.07738095238095238,0.13933058272680915,0.9311174918486238,High Risk
Assam,Hojai,6940,12.154115586690018,70.31204181546924,80,10,5.608267143398816,1.0,0.05952380952380952,0.16086412312827408,0.9309074297281845,High Risk
Uttar Pradesh,Kasganj,6225,8.918338108882521,60.10798920479869,77,13,5.608267143398816,1.0,0.07738095238095238,0.14429094617773863,0.9296293828133451,High Risk
Bihar,Lakhisarai,6031,11.966269841269842,66.23706485504124,76,13,5.535314323817076,0.9869919143085741,0.07738095238095238,0.13979416809605488,0.9264255862458511,High Risk
Gujarat,Porbandar,2488,4.812379110251451,25.05168304136139,71,15,5.205675294366495,0.9282145734612179,0.08928571428571429,0.057670019934170876,0.9263240947311749,High Risk
Uttar Pradesh,Barabanki,2359,7.020833333333333,64.51807230713621,72,28,5.608267143398816,1.0,0.16666666666666666,0.05467989430253581,0.9252626983759058,High Risk
Nagaland,Longleng,886,13.424242424242424,61.82806447811185,56,3,4.605702320039935,0.8212344744420841,0.017857142857142856,0.020536831857586573,0.9250210164974534,High Risk
Madhya Pradesh,Sehore,6415,7.064977973568282,40.142842611095475,77,18,5.608267143398816,1.0,0.10714285714285714,0.1486950071855732,0.917891497844328,High Risk
Uttar Pradesh,Ayodhya,1680,2.526315789473684,23.549927399732212,76,34,5.608267143398816,1.0,0.20238095238095238,0.03894117101664271,0.9174843153616739,High Risk
Punjab,Patiala,5087,5.645948945615983,39.629395062442825,77,23,5.608267143398816,1.0,0.13690476190476192,0.11791293866765565,0.9167094517330366,High Risk
